artist_id	artist_name	is_in_US_Canada	location
ARZGXZG1187B9B56B6	Endless Blue	True	Santa Cruz
AR8K6F31187B99C2BC	Go Fish	True	Twin Cities, MN
ARHJJ771187FB5B581	Screaming Lord Sutch	False	Harrow, Middlesex, England
ARJ8YLL1187FB3CA93	Morton Gould	True	Richmond Hill, NY
ARYBAGV11ECC836DAC	Crash Parallel	True	Mississauga
AR9SWJO1187FB47837	Prins Thomas	False	Oslo
ARO2Y5H1187B99D227	Blinker The Star	True	Canada
ARM2AV21187FB3DB65	17 Hippies	False	Fort Worth Texas USA
ARCSB641187FB47E64	Lady Of Rage	True	Farmville, VA
ARWMIKB1187B9AD5DC	Hans Theessink / Gerry Lockran	False	Enschede, Netherlands
ARDZSK71187B9B2091	War Of Ages	True	Washington, D.C.
ARFCJWP11F4C843768	Lucky Luciano	True	Texas
ARKKSWA11F50C4A9FA	Duncan Browne Sebastian Graham Jones	False	England
AR4W6U81187FB59B34	Steve Brookstein	False	England
ARG2LYZ1187FB54F12	Evelyne Dubourg	False	Hungary
ARMX1Y21187B99602F	Splatter	True	CANADA - Ontario
AR8X9IT1187FB44B6D	David Olney	True	Lincoln, RI
AR8QMT91187B990DF7	Niza	True	Florida
ARVC5SY1187B9A2600	Meow Meow	True	California - LA
ARMHW3S1187FB4D6F3	The Malibooz	True	California - LA
AR4Z34L1187B9B42EE	The Tag Team	True	Atlanta, GA
ARURJFG1241B9C7B27	Matt Schofield	False	UK - England - East
AR2SWEI1187FB48D70	Ismael Rivera	True	Santurce, Puerto Rico
AR2YZ0T1187FB3DB93	Ramon Ayala	True	AR
AR3YJMO11C8A42B348	Vulture Industries	False	Bergen
ARLC5ZX1187FB4F29B	NO FEAR	False	ITALY
AR60PF91187FB4DC45	Susanne Sundfør	False	Madrid Spain
AR54JHT1187B98BC51	Virus Nine	True	Medford, OR
ARFK2ID1187B992462	The Ducky Boys	True	Boston, MA
ARW80VY1187B9956DD	Seventh Key	True	Maryland
ARKVU6B1187B9AF1A7	Life Of Agony	True	Brooklyn, NY
ARI7KC31187FB47EAA	Akhenaton	False	Marseilles, France
ARIUPSL11F50C4B3BA	Sugar Eater	True	NY - Upstate NY
ARJIY9C1187B98C469	Mark Steiner	False	NORWAY
ARA0YAE1187B9B1D16	John Brown	True	North Carolina
ARJLU6A1187FB3F2DE	Seperated at Birth	True	NILES, Michigan
ARH4XRZ1187B9AEA21	The Berlin Project	True	Pittsburgh, PA
AR59BQE1187FB3CBE0	The Platters	True	Los Angeles, CA
ARI76K11187FB462EE	John Steel	False	Glasgow, UK
AR7UYEE1187FB3E336	Gerry Rafferty	False	Paisley, Scotland
AREVH0O1187B997D84	Locomotive Breath	False	SWEDEN
AR4ZOYW1187B9B374C	Ergo phizmiz	False	UK - England - South East
ARI52LW1187FB4150A	Nile Rodgers / Roy Hargrove / Money Mark	True	New York, NY
AR11WM51187B98A6EA	Martha Redbone	True	NY - New York City
ARP9HJX1187FB4E5DA	Apostle Of Hustle	True	Toronto, Ontario, Canada
ARZ7ICQ1187B9B76E1	Fertile Ground	True	Alabama
ARMCDAC11F50C4AF14	Larry Vuckovich	True	Bowie City, TX
AR6FS351187B9892B7	Midge Ure	False	Glasgow, Scotland
ARZN98V1187B990D1D	THERION	False	Stockholm, Sweden
ARLH9TN1187B98E170	Duane Eddy	True	Corning, NY
ARKE1RB1187FB3CF58	Backyard Tire Fire	True	Bloomington, IL
AR3XEVJ1187B9B972B	Diego Torres	False	Buenos Aires, Argentina
AR0K7931187FB4BD84	Klone	False	Poitiers 
ARRHNLN1187FB589BA	Jelly Roll Kings	True	Illinois
ARDCFNZ1187FB3DDB0	Enrique Iglesias	True	Missouri
ARYXVDW1187FB417A4	Katja Ebstein	False	Girlachsdorf, Germany
ARVS24C1187B989E5F	The Commitments / Andrew Strong	False	UK
ARU2DJH1187B998690	Super Chron Flight Brothers & The Presence	True	NY - New York City
AR6ETQ11187B9B006C	Samael	False	Sion, Switzerland
ARXBPW31187FB4D335	Cargo Cult	False	Reading
AR9HLNV1187B98EFC6	Barbara Manning	True	San Diego, CA
ARH13KO1187B9B884D	Retching Red	True	California - SF
ARZ2SQW1187B98AF82	Geno Washington	True	Evansville, IN
AR2KL3U1187B9B213F	Boys Don't Cry	False	England
ARGB0WN1187FB36731	The International Submarine Band	True	Libertyville, Illinois
ARUBTXP1187B98A00A	The Early Years	False	Hackney, London
AR6RA3Y1187B9B89D6	Hamish Imlach	False	Scotland
ARPVM151187B98C6A3	Stan Freeman	True	Waterbury, CT
ARNV3VP1187B9962EF	Una Mae Carlisle	True	Xenia, OH
ART62PT1187FB3AF8A	Kaleidoscope	True	Ohio
ARYSUWX122ECCB760C	Tibe	False	JAPAN
ARHMVCB1187FB42AFE	Walter Becker	True	New York, NY
ARRHEY91187B98D66D	Jellybean_ Scott Wozniak	True	New York, NY [South Bronx]
ARGUACZ1187FB3F35C	Connie Smith	True	Elkhart, IN
AR193MX1187B9916C7	Cold Duck Complex	True	Mass. - Western
ARNM2N51187B98BD93	John Brim	True	Hopkinsville, KY
ARJUGHG11F4C8422D1	Strength	True	Oregon
ARYXTZ21187FB39819	Total Chaos	True	Ohio
AROBZBV1187B98D0AD	Wes Cunningham	True	Texas
ARYFZBS11F4C84101B	James Payne	True	Alabama
ARNXAVA1187FB4C57D	Sugarfree	False	Metro Manila, Philippines
ARAXEDF1187B9A6FB6	Kath Bloom	True	New Haven, CT
AR9ALE91187FB399B7	Bobby Mitchell	True	Algiers, LA
ARRHXNC1187B98C169	Melatonin	False	NORWAY
ARPEWJR11F50C49F9E	Byron Nemeth	True	Ohio
