date,key,value
1922,Angry,0
1923,Angry,0
1924,Angry,0
1925,Angry,0
1926,Angry,0
1927,Angry,0
1928,Angry,0
1929,Angry,0
1930,Angry,0
1931,Angry,0
1932,Angry,0
1933,Angry,0
1934,Angry,0
1935,Angry,0
1936,Angry,0
1937,Angry,0
1938,Angry,0
1939,Angry,0
1940,Angry,0
1941,Angry,0
1942,Angry,8.33333333333333
1943,Angry,20
1944,Angry,41.6666666666667
1945,Angry,46.6666666666667
1946,Angry,25
1947,Angry,6.25
1948,Angry,15.3846153846154
1949,Angry,11.7647058823529
1950,Angry,7.14285714285714
1951,Angry,14.2857142857143
1952,Angry,30.7692307692308
1953,Angry,7.69230769230769
1954,Angry,3.57142857142857
1955,Angry,17.0212765957447
1956,Angry,13.1578947368421
1957,Angry,13.5135135135135
1958,Angry,23.1481481481481
1959,Angry,9.93377483443709
1960,Angry,6.2015503875969
1961,Angry,9.00900900900901
1962,Angry,9.80392156862745
1963,Angry,15.7534246575342
1964,Angry,21.8106995884774
1965,Angry,22.0588235294118
1966,Angry,28.125
1967,Angry,29.5871559633028
1968,Angry,30.1518438177874
1969,Angry,30.1615798922801
1970,Angry,31.733746130031
1971,Angry,35.042735042735
1972,Angry,37.413073713491
1973,Angry,37.6586741889986
1974,Angry,35.9046283309958
1975,Angry,36.9333333333333
1976,Angry,38.6259541984733
1977,Angry,42.8965517241379
1978,Angry,43.9829605963791
1979,Angry,43.482905982906
1980,Angry,45.1942740286299
1981,Angry,47.1844660194175
1982,Angry,48.9208633093525
1983,Angry,49.466537342386
1984,Angry,46.8104222821204
1985,Angry,45.7968476357268
1986,Angry,45.906432748538
1987,Angry,43.0950728660652
1988,Angry,44.0468445022772
1989,Angry,41.5361293582617
1990,Angry,41.0816432657306
1991,Angry,40.8456322297567
1992,Angry,40.3970981290569
1993,Angry,42.7773900907188
1994,Angry,42.3169474046064
1995,Angry,43.2038834951456
1996,Angry,44.2714126807564
1997,Angry,42.5149700598802
1998,Angry,44.9986873195064
1999,Angry,45.6625141562854
2000,Angry,44.2650807136788
2001,Angry,46.6222302287876
2002,Angry,45.296574770259
2003,Angry,46.0033683119575
2004,Angry,46.8762176906092
2005,Angry,45.9009206488382
2006,Angry,45.0192567919226
2007,Angry,47.751873438801
2008,Angry,46.2092933453469
2009,Angry,47.4292830457214
1922,Happy,0
1923,Happy,0
1924,Happy,0
1925,Happy,0
1926,Happy,0
1927,Happy,0
1928,Happy,0
1929,Happy,0
1930,Happy,0
1931,Happy,0
1932,Happy,0
1933,Happy,0
1934,Happy,0
1935,Happy,0
1936,Happy,0
1937,Happy,0
1938,Happy,0
1939,Happy,0
1940,Happy,0
1941,Happy,0
1942,Happy,0
1943,Happy,0
1944,Happy,8.33333333333333
1945,Happy,26.6666666666667
1946,Happy,8.33333333333333
1947,Happy,18.75
1948,Happy,23.0769230769231
1949,Happy,17.6470588235294
1950,Happy,7.14285714285714
1951,Happy,19.047619047619
1952,Happy,23.0769230769231
1953,Happy,7.69230769230769
1954,Happy,3.57142857142857
1955,Happy,19.1489361702128
1956,Happy,21.9298245614035
1957,Happy,27.027027027027
1958,Happy,30.5555555555556
1959,Happy,27.8145695364238
1960,Happy,17.8294573643411
1961,Happy,31.5315315315315
1962,Happy,25.4901960784314
1963,Happy,41.7808219178082
1964,Happy,34.5679012345679
1965,Happy,34.5588235294118
1966,Happy,44.0972222222222
1967,Happy,44.7247706422018
1968,Happy,43.3839479392625
1969,Happy,42.1903052064632
1970,Happy,43.1888544891641
1971,Happy,44.1025641025641
1972,Happy,47.2878998609179
1973,Happy,49.083215796897
1974,Happy,45.5820476858345
1975,Happy,48.9333333333333
1976,Happy,49.7709923664122
1977,Happy,48
1978,Happy,45.7933972310969
1979,Happy,47.008547008547
1980,Happy,47.8527607361963
1981,Happy,47.378640776699
1982,Happy,45.5035971223022
1983,Happy,46.3627546071775
1984,Happy,44.6540880503145
1985,Happy,42.031523642732
1986,Happy,43.7134502923977
1987,Happy,41.0131852879944
1988,Happy,41.3793103448276
1989,Happy,42.9509853461344
1990,Happy,40.7696307852314
1991,Happy,41.842840047866
1992,Happy,40.893470790378
1993,Happy,43.0914166085136
1994,Happy,42.7294602956342
1995,Happy,42.7184466019417
1996,Happy,42.0745272525028
1997,Happy,43.4948285247686
1998,Happy,42.6358624310843
1999,Happy,41.0419026047565
2000,Happy,42.374681393373
2001,Happy,43.2174382994055
2002,Happy,43.5087719298246
2003,Happy,41.9225288249773
2004,Happy,42.3691388492012
2005,Happy,43.7308198158702
2006,Happy,41.3760799417092
2007,Happy,42.985012489592
2008,Happy,44.9864847470717
2009,Happy,43.7110834371108
1922,Relax,50
1923,Relax,50
1924,Relax,50
1925,Relax,50
1926,Relax,50
1927,Relax,50
