duration,artist_familiarity,artist_hotttnesss,year
200.33,0.65742,0.43788,2003.3
330.02,0.69075,0.47136,2007.6
811.23,0.55364,0.3602,1994
36.336,0.66709,0.54381,1979.5
218.33,0.6134,0.42743,1978.3
281.93,0.72721,0.53543,2008.4
421.91,0.64937,0.45146,1970.7
507.39,0.67165,0.4122,2000.2
1598.2,0.68681,0.44388,2000
138.89,0.61792,0.46588,2000.5
81.948,0.6458,0.42893,1995
93.317,0.5836,0.43455,1999.4
632.35,0.57665,0.39395,1969
166.3,0.64594,0.45331,2005.4
235.95,0.5893,0.41835,1991.6
243.99,0.67594,0.52056,2006.4
272.58,0.63042,0.44543,1992.9
249.35,0.70619,0.52242,1970
382.95,0.55397,0.39433,2001.4
798.2,0.35039,0.29367,2007
407.68,0.67957,0.47425,1998.3
355.68,0.63269,0.44942,1990.4
1071.9,0.82355,0.50712,2001
793.63,0.55364,0.3602,1994
180.41,0.57919,0.40923,1992.8
215.94,0.66756,0.48491,2005.4
308.31,0.71592,0.53042,1984.7
475.49,0.71552,0.5145,1995
158.77,0.59587,0.38604,1960.7
984.55,0.5206,0.33807,2001
291.17,0.62052,0.44268,1990.8
268.22,0.61841,0.42451,1972.9
364.98,0.58193,0.38592,1972.8
229.93,0.68993,0.4807,2007
531.12,0.56149,0.44519,1972.5
115.99,0.64431,0.44423,2000.7
188.94,0.65024,0.47229,1977
294.52,0.69592,0.50024,2004.6
167.09,0.59894,0.42705,1997.2
224.56,0.63614,0.43822,2000.3
743.37,0.44803,0.39362,1992
147.54,0.529,0.34295,1967.4
504.32,0.6511,0.44913,2006.3
149.06,0.57069,0.39708,1959.8
337.75,0.63314,0.46093,1981
256.64,0.66956,0.4575,1991.9
188.51,0.74224,0.56657,2008.3
494.78,0.46969,0.32863,2000.2
76.186,0.63056,0.55406,1960
180.12,0.66679,0.46846,2007.8
201.6,0.60892,0.41449,1977.6
183.47,0.60266,0.44321,1999.6
1023.9,0.51844,0.42203,1968
147.38,0.59243,0.43011,1994.5
258.53,0.6924,0.46763,2007.3
100.99,0.63849,0.45717,1990
573.67,0.77287,0.4737,1990
205.06,0.60707,0.43778,2005.2
386.47,0.56855,0.38724,1998.6
1.0444,0.94733,0.60726,2005
108.17,0.6388,0.4559,1965
172.81,0.57339,0.40004,1937
458.54,0.60745,0.30475,1996
315.22,0.65044,0.45999,1994.8
329.8,0.68669,0.48344,1990.8
180.41,0.5637,0.46109,2001
290.99,0.60121,0.40424,2006.4
551.96,0.65517,0.47361,2007.8
156.61,0.56936,0.39174,2004.6
621.73,0.57394,0.40902,2001
54.456,0.62496,0.43543,2007.7
212.13,0.46205,0.32776,1959.7
264.89,0.64226,0.44734,2000.1
281.84,0.64423,0.44188,1987.6
248.09,0.6451,0.44121,1988
106.92,0.61345,0.4269,2007.8
591.22,0.70334,0.46049,2006.5
198.1,0.67457,0.48002,1983.2
230.99,0.63239,0.44988,1979.7
378.74,0.62759,0.47767,2006.4
169.2,0.65562,0.4507,1972.4
134.87,0.76706,0.55193,1981.9
119.52,0.60079,0.44623,1965.9
200.65,0.61807,0.41864,1999.7
153.67,0.54251,0.39859,2000.6
208.33,0.67605,0.46578,1986.3
338.48,0.66765,0.44809,1994.1
68.989,0.60813,0.39248,2002.1
419.92,0.58648,0.41769,2005.8
441.67,0.55541,0.37389,2007.4
355.45,0.58312,0.42761,1998.7
302.34,0.66813,0.47844,1995.5
170.66,0.62284,0.44097,2008.1
300.23,0.62832,0.42728,1979.4
360.63,0.61792,0.41686,2009
65.645,0.73924,0.49654,1980.5
150.86,0.65378,0.47035,1980.4
335.86,0.66199,0.45831,2002.2
247.71,0.68308,0.49411,2006.5
242.28,0.65223,0.49711,1979.9
158.02,0.62507,0.43829,1984.7
13.583,0.87101,0.87924,1999
308.04,0.61067,0.42841,2004.3
174.12,0.46548,0.32369,1948.5
270.27,0.64517,0.48949,2002.6
190.54,0.50035,0.34783,1935.5
281.17,0.61828,0.41109,2005.5
153.35,0.56711,0.40203,1989.4
300.45,0.60996,0.44679,2006.8
591.62,0.85079,0.8381,1973
472.7,0.70029,0.54839,2003.2
236.73,0.67376,0.45861,2002.1
294.99,0.64636,0.43436,1997.1
658.74,0.5392,0.34325,2000
321.28,0.70661,0.49438,2005.8
520.8,0.71281,0.48427,2001
151.83,0.6237,0.45182,1969.3
87.734,0.62149,0.42934,2008.1
35.166,0.56389,0.48347,2000
157.21,0.5463,0.41781,1969.5
286.82,0.60964,0.38259,1960
460.14,0.52323,0.3475,2005.8
255.17,0.64451,0.44732,2005
398.21,0.57539,0.42189,1990.1
208.66,0.68874,0.50087,1999.4
187.97,0.6647,0.45983,2001.5
444.81,0.63201,0.14468,1977
182.71,0.62664,0.46424,1965.2
53.118,0.61872,0.42313,1995.6
194.46,0.60526,0.41324,2004.3
423.3,0.59223,0.45773,1989
223.05,0.69901,0.50558,2007.7
233.89,0.66644,0.45276,2008.1
237.08,0.62897,0.41662,1974.6
125.65,0.64589,0.46334,2007.2
75.663,0.65152,0.48153,2003.2
711.71,0.72597,0.46398,2008
137.89,0.64192,0.43006,1988
216.83,0.64443,0.45279,1994
284.22,0.59818,0.41455,2001.7
351.48,0.68472,0.47144,2007.6
223.48,0.43054,0.31635,1961
70.696,0.62628,0.45057,2007.5
182.59,0.6731,0.47335,1980.5
