year,anger_score,anxiety_score,neg_score,pos_score,sad_score,swear_score
1924,0.043105,0.014394,0.023917,-0.007561,0.021517,0.010505
1925,0.024641,-0.019795,0.043182,0.043182,0.043182,-0.061383
1926,-0.010811,-0.019634,-0.030004,-0.011796,-0.015155,-0.070354
1927,0.0064801,-0.02925,-0.041708,-0.02402,-0.017456,-0.010132
1928,-0.0099335,-0.02597,-0.00917,-0.031643,0.013124,0.06949
1929,-0.0060468,-0.025129,-0.014746,-0.01974,0.0058886,0.047798
1930,-0.0077417,-0.028679,-0.013244,-0.027506,-0.0038041,-0.03718
1931,-0.0040184,-0.027432,-0.033444,-0.014127,-0.022898,-0.021921
1932,-0.02568,-0.025581,-0.02594,-0.043857,-0.011118,-0.023155
1933,-0.03058,-0.03025,-0.043978,-0.021983,-0.043978,-0.01
1934,-0.0096265,-0.019958,0.0012275,-0.035543,-0.0023449,0.098338
1935,-0.044243,-0.0071759,-0.030275,-0.027991,-0.016069,0.091982
1936,-0.0052519,-0.02221,-0.020697,-0.011941,-0.015437,0.0024929
1937,-0.015086,-0.0081881,-0.013882,-0.032214,-0.017935,-0.027149
1938,0.031735,-0.01294,-0.026836,-0.034088,-0.025944,0.011601
1939,0.010152,-0.039503,-0.017925,0.022785,0.014122,-0.026899
1940,0.01101,-0.030308,-0.026572,-0.017045,-0.00715,0.028122
1941,0.004245,-0.019182,-0.034343,-0.036441,-0.031381,-0.011526
1942,-0.0096737,-0.011849,-0.029248,-0.028396,-0.036694,-0.037569
1943,0.013524,0.045783,-0.014802,-0.031927,-0.0034749,-0.015605
1944,-0.015401,-0.028084,-0.031243,0.021172,-0.014055,-0.056367
1945,-0.0083486,0.004285,-0.00065911,-0.04453,-0.0064092,-0.015652
1946,-0.0034288,-0.017349,-0.033122,0.0009852,-0.017704,-0.013124
1947,-0.010647,-0.039338,-0.035731,-0.013031,-0.010666,0.072237
1948,-0.0030726,-0.01411,-0.015496,-0.020331,-0.012019,-0.039134
1949,-0.013123,-0.03739,-0.0099203,-0.022271,0.024243,-0.010429
1950,-0.014621,-0.030067,-0.041089,-0.023571,-0.015529,-0.016125
1951,-0.0042593,-0.022972,-0.011349,-0.01932,0.0056412,-0.016407
1952,-0.022819,-0.049775,-0.04887,-0.041411,-0.021282,-0.038426
1953,-0.0099522,-0.039871,-0.042024,-0.036794,-0.022313,-0.018201
1954,-0.0051463,-0.026251,-0.040335,-0.030418,-0.025043,-0.050417
1955,-0.010174,-0.028335,-0.037484,-0.022784,-0.023817,0.01
1956,-0.016394,-0.035471,-0.042063,-0.027503,-0.019004,0.0021765
1957,-0.0081338,-0.036417,-0.028019,-0.017635,-0.0044353,0.02232
1958,-0.013715,-0.040322,-0.039825,-0.027632,-0.011041,-0.2135
1959,-0.0023529,-0.034056,-0.0393,-0.023814,-0.017767,-0.0066066
1960,-0.0075673,-0.031464,-0.031733,-0.017095,-0.016276,-0.17373
1961,-0.0022329,-0.033878,-0.030372,-0.020495,-0.0068368,-0.011958
1962,-0.017449,-0.030436,-0.038143,-0.024381,-0.021056,-0.30837
1963,-0.0026436,-0.056207,-0.056058,-0.026996,-0.019698,0.22991
1964,-0.020009,-0.08098,-0.087949,-0.061451,-0.040507,-0.15235
