year,love_importance,happiness_importance,peace_importance,sadness_importance,war_importance
1924,-0.076643,-0.12306,-0.094315,-0.10706,-0.04242
1925,0.57517,-0.12325,0.33811,-0.075089,-0.082809
1926,0.016685,-0.12346,-0.03667,0.053729,-0.022013
1927,-0.04034,-0.059593,-0.068843,-0.028489,-0.078436
1928,-0.067452,-0.050231,-0.077293,-0.020074,-0.066694
1929,-0.091693,-0.077934,-0.091259,-0.062064,-0.044658
1930,-0.061181,-0.10676,-0.10486,-0.06991,-0.066057
1931,-0.063454,-0.04857,-0.082573,-0.061342,-0.074464
1932,-0.10112,-0.098278,-0.11024,-0.054854,-0.083453
1933,-0.12543,-0.044591,-0.12543,-0.07559,-0.083579
1934,0.019596,0.091051,-0.035765,0.20846,-0.10477
1935,-0.12625,-0.12625,-0.12625,-0.10943,-0.062676
1936,-0.061198,-0.053432,-0.075999,-0.092831,-0.10182
1937,-0.034371,-0.099544,-0.054392,-0.037577,-0.057328
1938,-0.077863,-0.099886,-0.096887,-0.050296,-0.11698
1939,0.0060696,-0.053237,-0.045159,-0.12269,-0.11388
1940,-0.068019,-0.043644,-0.075529,-0.039523,-0.033961
1941,-0.1146,-0.060763,-0.1077,-0.046384,-0.1099
1942,-0.039404,-0.043186,-0.066194,-0.12204,-0.10832
1943,-0.13222,-0.13222,-0.13222,-0.13222,-0.13222
1944,-0.025086,-0.13358,0.00079811,-0.096167,-0.13358
1945,-0.11671,-0.1352,-0.1123,-0.090582,-0.11914
1946,-0.063986,0.035648,-0.081778,-0.072682,-0.11598
1947,-0.041707,-0.11773,-0.075959,-0.087299,-0.086472
1948,-0.040947,-0.063052,-0.10495,-0.10065,-0.094138
1949,0.030583,-0.096274,0.0027568,-0.10269,-0.11417
1950,-0.019978,-0.10966,-0.086459,-0.080402,-0.10813
1951,0.13002,-0.12411,0.0010448,-0.08959,-0.13785
1952,-0.10822,-0.12752,-0.096017,-0.10382,-0.13816
1953,0.02858,-0.12077,-0.053181,-0.083658,-0.12829
1954,0.053382,-0.1326,-0.060036,-0.15702,-0.16264
1955,0.16235,-0.18145,0.092872,-0.1075,-0.23234
1956,0.47154,-0.14422,0.092733,-0.17692,-0.30945
1957,0.56154,-0.32617,0.30802,-0.16375,-0.41468
1958,0.60296,-0.3057,0.10377,-0.17162,-0.42016
1959,0.57304,-0.33092,0.17337,-0.17139,-0.29162
1960,0.48755,-0.22321,0.40081,-0.3111,-0.42524
1961,0.26527,-0.30961,0.17023,-0.23293,-0.39626
1962,0.37911,-0.32489,0.16185,-0.20006,-0.32559
1963,0.53763,-0.071429,0.27532,-0.11965,-0.32629
